x,y,z
334816.0,4262736.26432,-339.248747634
334841.0,4262736.26432,-338.727969671
334841.0,4262756.10684,-338.510524197
334816.0,4262756.10684,-338.986833905
334816.0,4262716.42181,-339.442097844
334841.0,4262716.42181,-338.873571208
334866.0,4262716.42181,-338.353358213
334866.0,4262736.26432,-338.249181048
334866.0,4262756.10684,-338.077660846
337297.129011,4259263.82452,1564.73551715
337291.0,4259268.12844,1564.73551715
337300.732865,4259263.82452,1596.2335434
337291.0,4259270.63181,1596.2335434
334791.0,4262716.42181,-340.063681396
334791.0,4262736.26432,-339.815008774
334791.0,4262756.10684,-339.504941689
337316.0,4259263.82452,1625.7406382
337318.018812,4259263.82452,1627.73156964
337316.0,4259264.76642,1627.73156964
336816.0,4260930.59563,788.282628299
336834.728014,4260930.59563,808.782887211
336816.0,4260915.31138,808.782887211
335366.0,4263033.90202,-342.908994735
335391.0,4263033.90202,-341.007253771
335391.0,4263073.58705,-334.860109849
335366.0,4263073.58705,-337.04226562
335416.0,4263033.90202,-335.784445445
335416.0,4263073.58705,-330.323592033
336841.0,4260970.28065,775.445372523
336816.0,4260970.28065,753.317022871
336841.0,4260967.72841,777.284860964
336816.0,4260941.34246,777.284860964
336842.769279,4260970.28065,777.284860964
337266.0,4259292.36064,1564.73551715
337266.0,4259296.94788,1596.2335434
334841.0,4262795.79186,-337.837691915
334816.0,4262795.79186,-338.226751924
334866.0,4262795.79186,-337.514003821
334766.0,4262716.42181,-340.747762906
334766.0,4262756.10684,-340.105528104
337266.0,4259303.50955,1614.94554473
337291.0,4259284.60856,1627.73156964
337271.052413,4259303.50955,1627.73156964
337291.0,4259268.78523,1533.2374909
337266.0,4259290.2408,1533.2374909
337297.458079,4259263.82452,1533.2374909
335316.0,4263033.90202,-341.210876691
335341.0,4263033.90202,-342.3682013
335341.0,4263073.58705,-337.195544735
335316.0,4263073.58705,-336.432297199
334816.0,4262676.73679,-339.678402219
334866.0,4262676.73679,-338.382856649
336866.0,4260970.28065,805.57388015
336866.0,4260967.1849,808.782887211
335416.0,4263096.10376,-325.146057694
335383.34682,4263113.27207,-325.146057694
335416.0,4263113.27207,-320.829110101
337366.0,4259231.96894,1564.73551715
337316.0,4259251.52211,1564.73551715
337366.0,4259237.69684,1596.2335434
337316.0,4259253.82022,1596.2335434
337366.0,4259248.63643,1627.73156964
337265.26838,4256803.35289,-262.1500052
337266.0,4256803.72814,-262.1500052
337216.0,4256803.35289,-251.935140797
337266.0,4256843.03792,-246.215826339
337216.0,4256843.03792,-236.31873606
332716.0,4259819.41489,-442.550308735
332766.0,4259819.41489,-440.709098215
332766.0,4259859.09992,-442.299647162
332716.0,4259859.09992,-444.096657096
335266.0,4255612.8021,-321.601898082
335316.0,4255612.8021,-318.175833176
335316.0,4255652.48713,-304.1205952
335266.0,4255652.48713,-307.608208057
331966.0,4255930.28231,-446.589474714
332016.0,4255930.28231,-441.562248045
332016.0,4255969.96734,-431.938267779
331966.0,4255969.96734,-436.957604438
332816.0,4259938.46997,-442.988117365
332866.0,4259938.46997,-440.786850049
332866.0,4259978.155,-441.808643152
332816.0,4259978.155,-444.005103606
335616.0,4255573.11708,-320.036909199
335666.0,4255573.11708,-324.643592317
335666.0,4255612.8021,-306.344999638
335616.0,4255612.8021,-302.147813641
334466.0,4258192.32881,-374.381334643
334516.0,4258192.32881,-367.323740215
334516.0,4258232.01384,-368.633772804
334466.0,4258232.01384,-375.556081391
334266.0,4258033.58871,-377.099585756
334316.0,4258033.58871,-374.554040138
334316.0,4258073.27373,-378.378966821
334266.0,4258073.27373,-380.662460821
337365.197034,4259224.1395,1501.73946465
337316.0,4259250.0877,1501.73946465
337366.0,4259224.1395,1504.63836401
337366.0,4259228.19535,1533.2374909
337316.0,4259251.71353,1533.2374909
337216.0,4256777.22535,-262.1500052
337266.0,4256880.45362,-230.651978952
337216.0,4256857.13712,-230.651978952
337266.0,4256882.72295,-229.695067349
337216.0,4256882.72295,-220.230998131
332716.0,4259779.72987,-440.83470362
332766.0,4259779.72987,-438.945853929
332766.0,4259898.78494,-443.665014966
332716.0,4259898.78494,-445.437435885
335316.0,4255593.31286,-325.146057694
335266.0,4255602.81482,-325.146057694
335316.0,4255681.55696,-293.648031447
335266.0,4255691.41271,-293.648031447
335316.0,4255692.17216,-289.746985462
335266.0,4255692.17216,-293.370281074
332016.0,4255893.82906,-451.138162684
331966.0,4255912.9492,-451.138162684
332016.0,4256009.65237,-423.153004668
331966.0,4256009.65237,-428.148904911
332816.0,4259898.78494,-441.70432149
332866.0,4259898.78494,-439.462980905
332866.0,4260017.84002,-442.642145099
332816.0,4260017.84002,-444.862337531
335666.0,4255572.13411,-325.146057694
335616.0,4255562.87978,-325.146057694
335666.0,4255645.25794,-293.648031447
335616.0,4255634.82928,-293.648031447
335666.0,4255652.48713,-290.906922818
335616.0,4255652.48713,-287.025173206
334466.0,4258152.64379,-371.562849862
334516.0,4258152.64379,-364.191791463
334516.0,4258271.69887,-367.691520012
334466.0,4258271.69887,-374.833771898
334266.0,4257993.90368,-372.752907373
334316.0,4257993.90368,-369.875792508
334316.0,4258112.95876,-381.284222244
334266.0,4258112.95876,-383.387147665
335366.0,4262994.217,-342.17608841
335416.0,4262994.217,-335.882954517
335366.0,4263113.27207,-327.295058831
336839.434977,4261009.96568,745.786834716
336816.0,4260980.32393,745.786834716
336866.0,4261009.96568,771.658762953
336866.0,4261002.64036,777.284860964
337266.0,4259312.25144,1627.73156964
336868.336398,4260970.28065,808.782887211
334866.0,4262835.47689,-336.642028725
334816.0,4262835.47689,-337.196020522
334766.0,4262676.73679,-341.174005762
334766.0,4262795.79186,-339.22024687
332066.0,4255930.28231,-437.369279682
332066.0,4255969.96734,-427.778838697
332026.047948,4255890.59729,-451.138162684
332066.0,4255890.59729,-447.759178234
332066.0,4256006.71693,-419.640136437
332058.194852,4256009.65237,-419.640136437
332066.0,4256009.65237,-418.993067941
335366.0,4255612.8021,-313.839328742
335366.0,4255652.48713,-299.470836406
335366.0,4255582.52131,-325.146057694
335366.0,4255668.85626,-293.648031447
335366.0,4255692.17216,-285.272132074
332816.0,4259819.41489,-438.597792926
332816.0,4259859.09992,-440.222769034
332816.0,4259779.72987,-436.885796974
337316.0,4256828.49337,-262.1500052
337316.0,4256843.03792,-256.011714316
337316.0,4256882.72295,-239.003656155
337271.151805,4256882.72295,-230.651978952
336766.0,4260930.59563,750.855465532
336803.173079,4260930.59563,777.284860964
336766.0,4260905.44433,777.284860964
336766.0,4260890.9106,793.997706765
336782.618459,4260890.9106,808.782887211
332916.0,4259938.46997,-438.250681293
332916.0,4259978.155,-439.311319228
332916.0,4259898.78494,-436.992501397
332916.0,4260017.84002,-440.231424077
335669.094274,4255573.11708,-325.146057694
335716.0,4255589.48024,-325.146057694
335716.0,4255612.8021,-314.515548774
335716.0,4255652.48713,-298.552175838
335683.911283,4255652.48713,-293.648031447
334566.0,4258192.32881,-356.88349011
334566.0,4258232.01384,-358.043280059
334553.763028,4258152.64379,-356.644083942
334566.0,4258188.79528,-356.644083942
334566.0,4258152.64379,-354.120702313
334566.0,4258271.69887,-357.445048641
334366.0,4258033.58871,-370.48352263
334366.0,4258073.27373,-374.636820533
334366.0,4257993.90368,-365.648317602
334366.0,4258112.95876,-378.005578831
335457.60731,4263033.90202,-325.146057694
335437.584258,4263073.58705,-325.146057694
335466.0,4263033.90202,-322.772787786
335466.0,4263073.58705,-317.732494306
334111.297707,4259938.46997,-388.142110189
334108.696907,4259978.155,-388.142110189
334116.0,4259938.46997,-387.118947594
334116.0,4259978.155,-386.584875337
334916.0,4262716.42181,-337.448998028
334916.0,4262756.10684,-337.400495894
337296.145148,4259263.82452,1501.73946465
337266.0,4259286.70137,1501.73946465
335316.0,4262994.217,-342.452704078
335316.0,4263113.27207,-328.618511319
334107.613603,4259898.78494,-388.142110189
334116.0,4259898.78494,-386.387172783
334916.0,4262676.73679,-337.233578809
335463.686907,4262994.217,-325.146057694
335466.0,4262994.217,-324.574740002
336766.0,4260879.14074,808.782887211
335366.0,4263121.39942,-325.146057694
335416.0,4263152.9571,-309.71599156
335366.0,4263152.9571,-316.086491155
334916.0,4262795.79186,-337.043774451
334916.0,4262835.47689,-336.371411906
334766.0,4262835.47689,-338.068605721
334100.350405,4260017.84002,-388.142110189
334116.0,4260017.84002,-384.960786513
334088.25304,4260057.52505,-388.142110189
334116.0,4260057.52505,-382.793377704
336896.450981,4261009.96568,808.782887211
336806.083693,4260970.28065,745.786834716
336766.0,4260936.14377,745.786834716
335466.0,4263113.27207,-309.644727478
335466.0,4263152.9571,-300.12591507
335316.0,4263128.01364,-325.146057694
335316.0,4263152.9571,-318.864900198
337416.0,4259220.97529,1564.73551715
337404.390042,4259224.1395,1564.73551715
337416.0,4259224.1395,1573.62782181
337416.0,4259243.75516,1627.73156964
337166.0,4256803.35289,-241.47637074
337166.0,4256843.03792,-226.165435624
337166.0,4256882.72295,-210.620990185
332666.0,4259819.41489,-444.25585716
332666.0,4259859.09992,-445.778177049
332666.0,4259898.78494,-447.178121314
335216.0,4255612.8021,-324.323952226
335216.0,4255652.48713,-310.108256015
335216.0,4255692.17216,-296.081187714
331927.093321,4255930.28231,-451.138162684
331916.0,4255935.62384,-451.138162684
331916.0,4255969.96734,-442.808995837
331916.0,4256009.65237,-433.96886883
337252.444728,4259303.50955,1564.73551715
337220.649957,4259343.19458,1564.73551715
337242.855771,4259343.19458,1627.73156964
337820.374634,4261803.66621,1564.73551715
337823.65947,4261843.35123,1564.73551715
