xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335454.7,4263089.4,588.5,1,21:04:19:13:58:55,50335,0.4445,96.47,42.25,12.82,0.92209,-0.31378,-0.22649,0.31969,0.94746,-0.0111,4.81E+06,115.9,39.5,12.69,1030.165,-1.545,9.78E-02,3,0.2444,1.82E+06,35,2.4,0.873,1508.9,2.53E-06
335441.6,4263059.7,559.4,1,21:04:19:14:04:23,50663,0.0501,73.93,48.76,10.2,0.9272,-0.19886,-0.31741,0.20505,0.97865,-0.01417,2.31E+06,145.5,135.9,6.03,4594.556,-1.758,1.97E-01,6,0.323,7.94E+05,4.8,3.3,0.797,1481.9,1.79E-06
335285.2,4263138.8,542,1,22:04:19:17:17:45,148665,0.7294,63.69,57.36,9.5,0.85759,-0.27255,-0.43618,0.29224,0.95607,-0.02281,1.37E+07,47.8,105.4,14.09,2137.418,-1.243,5.36E-01,10,0.2841,1.65E+07,28.8,3.8,0.754,1514.5,2.44E-06
335327.6,4263110.1,546.5,1,22:04:19:17:18:47,148727,0.3617,69.7,10.95,10.03,0.87095,-0.272,-0.40922,0.24128,0.96223,-0.12606,8.28E+06,176.1,86.8,6.87,11178.779,-1.388,1.70E+00,11,0.3167,4.94E+06,44.6,6.8,0.755,1502.9,2.45E-06
335209.7,4263052.1,473.8,1,22:04:19:17:19:49,148789,0.7928,103.21,45.73,12.26,0.86991,-0.08977,-0.48497,0.10091,0.99489,-0.00315,4.42E+06,124.2,155.9,6.42,7311.365,-1.57,5.90E-01,3,0.2831,1.30E+06,15.9,4,0.758,1472.1,2.39E-06
335365,4263018.8,544,1,22:04:19:17:27:06,149226,0.3049,94.62,49.44,14.01,0.92027,-0.05342,-0.38762,0.05876,0.99827,0.00192,3.36E+07,149.7,110.2,6.58,51661.77,-0.982,3.16E+01,11,0.3534,9.20E+06,19.8,10,0.813,1485.3,3.16E-06
335430.3,4263106.2,566.1,1,22:04:19:17:27:13,149233,0.3165,100.85,33.75,12.21,0.83527,-0.44302,-0.32566,0.44578,0.89236,-0.07056,1.93E+06,153.8,150.8,5.6,4822.736,-1.809,1.73E-01,6,0.2481,8.69E+05,1.4,2.2,0.799,1493.9,2.94E-06
335369.1,4263123.9,564.3,1,22:04:19:17:27:24,149244,0.7878,73.54,48.56,9.58,0.87074,-0.29928,-0.39019,0.31419,0.94898,-0.02673,3.28E+06,124.2,109.2,7.32,3648.95,-1.657,2.18E-01,10,0.2687,2.84E+06,7.5,3.4,0.778,1509.1,2.88E-06
335326.3,4263076.6,516.6,1,22:04:19:17:27:28,149248,0.0079,61.98,19.28,9.52,0.88846,-0.20032,-0.41292,0.20811,0.97774,-0.02654,1.78E+07,110.6,104.1,7.96,15422.012,-1.167,5.04E+00,11,0.3703,5.53E+06,3.2,7.3,0.697,1472.7,3.45E-06
335233.6,4263074.6,495.9,1,22:04:19:17:28:17,149297,0.4094,79.92,18.46,11.62,0.8299,-0.31529,-0.46028,0.29872,0.9479,-0.1107,5.82E+06,143.5,113.7,6.61,8826.867,-1.49,9.52E-01,11,0.3453,2.10E+06,14.9,6.9,0.717,1484.5,2.72E-06
335208,4263052.4,481.2,1,22:04:19:17:28:20,149300,0.7146,64.79,54.66,9.62,0.85625,-0.08568,-0.50941,0.09886,0.9951,-0.0012,3.45E+07,26.1,114.7,23.04,1235.47,-0.974,7.79E-01,11,0.3249,5.19E+07,44.3,4.5,0.677,1479.6,2.49E-06
335271.4,4263081.7,485.8,1,22:04:19:17:28:38,149318,0.0773,94.83,58.51,12.7,0.87548,-0.16827,-0.45302,0.18148,0.98329,-0.01452,5.24E+06,114.3,97.3,8.03,4422.825,-1.52,4.30E-01,11,0.2852,2.98E+06,8.5,4.3,0.677,1462,2.87E-06
335443.6,4263080,573.3,1,22:04:19:17:29:58,149398,0.7752,92.62,26,10.77,0.90177,-0.36685,-0.22856,0.36987,0.92856,-0.03108,6.20E+06,149.2,98.4,6.71,8965.616,-1.472,1.10E+00,7,0.2973,1.31E+06,25.4,4.6,0.897,1496.1,2.56E-06
335278.5,4263066.3,529,1,22:04:19:17:30:48,149448,0.8597,61.99,27.32,9.5,0.88875,-0.14401,-0.43518,0.15414,0.98797,-0.01213,9.02E+07,166.9,96.5,6.64,134995.74,-0.697,2.24E+02,11,0.3085,3.55E+07,35.2,13.7,0.921,1499.2,6.41E-06
335391.6,4263000.6,573.1,1,22:04:19:17:32:22,149542,0.2846,70.24,42.9,9.56,0.93969,-0.01292,-0.34178,0.01552,0.99987,0.00488,3.04E+06,161.4,117.2,6.08,5907.575,-1.678,3.33E-01,11,0.2871,4.66E+06,22.1,3.9,0.805,1506,4.06E-06
335304.6,4263046.9,541.1,1,22:04:19:17:34:40,149680,0.703,68.62,37.43,9.51,0.90258,-0.1038,-0.41783,0.11245,0.99365,-0.00394,8.92E+06,52.1,118.4,12.82,1850.654,-1.366,3.03E-01,9,0.3013,1.05E+07,33.1,4,0.81,1501.4,2.75E-06
335328.9,4263165,523.1,1,22:04:19:17:37:36,149856,0.2914,71.11,21.03,12.83,0.81531,-0.39899,-0.41961,0.40852,0.90995,-0.07148,2.64E+06,135.9,122.2,6.6,4016.669,-1.719,1.95E-01,10,0.3026,1.94E+06,6.9,3.4,0.652,1485.6,2.23E-06
335316.6,4263058.3,510.7,1,22:04:19:17:37:37,149857,0.0393,63.91,33.74,9.51,0.89681,-0.14466,-0.4181,0.15332,0.98809,-0.01301,2.19E+06,195.5,124.9,5.38,6152.927,-1.773,2.47E-01,10,0.2898,8.33E+06,35.3,4.4,0.677,1469.1,3.15E-06
335370.8,4263012.3,589.1,1,22:04:19:17:38:08,149888,0.2239,69.24,14.11,9.49,0.93594,-0.03259,-0.35066,0.03754,0.99927,0.00733,3.05E+06,91.9,108.9,8.72,2009.739,-1.677,1.14E-01,6,0.2345,3.58E+06,8.2,2.7,0.78,1527,2.21E-06
335349.6,4263127.5,513.7,1,22:04:19:17:41:43,150103,0.9327,63.71,45.4,9.52,0.85226,-0.3301,-0.40581,0.34349,0.93822,-0.0418,2.44E+06,161.8,123.5,5.96,5029.75,-1.742,2.25E-01,11,0.2956,1.95E+06,19.2,3.8,0.677,1466.7,2.55E-06
335253.6,4263024.3,471.1,1,22:04:19:17:42:07,150127,0.1813,74.92,73.9,10.44,0.86647,-0.10374,-0.48833,0.1049,0.99417,-0.02507,2.05E+06,179.2,117.8,5.84,4499.799,-1.793,1.68E-01,9,0.3069,6.27E+05,30.7,3.9,0.631,1452.2,2.67E-06
