,Well ID,x,y,z
2,Dec-35,339385.01,4264212.99,-119.4
7,13-10,337709.02,4260660.0,-2203.7
12,14-2,339393.0,4262171.96,-2096.5
17,24-36,341221.02,4263743.01,-1965.8
22,25-15,337873.02,4258706.96,-2173.0
27,28-3,337980.01,4261383.04,-2178.5
32,1-Mar,338594.96,4262043.98,-2136.6
37,35-3,338165.01,4261915.97,-2159.1
42,52-21,336906.02,4257739.01,-2217.0
47,54-3,338607.0,4262195.95,-2137.1
51,71-10,338913.04,4261094.04,-2135.6
56,72-16,337321.03,4259298.97,-2204.9
61,82-33,337682.99,4264131.02,-2222.4
66,1-Sep,336841.97,4260929.03,-2223.4
71,Acord-1,330059.03,4265084.0,-2481.2
76,Big Cedar Cove UU-76,339669.04,4258810.02,-2025.4
78,EV-4115,339926.0,4253546.0,986.1
82,GPC-1,331750.97,4253210.95,-1372.7
86,GPC-14,334500.01,4258223.96,-1309.0
90,GPC-15,334303.99,4258057.02,-1311.6
95,GPC-2,333776.98,4253152.97,-2296.0
100,GPC-3,335962.0,4253027.99,-2201.9
102,GPC-4,336426.98,4254695.03,799.0
104,GPC-5,338323.0,4254700.0,895.1
108,GPC-6,332001.02,4255968.97,-1362.2
110,GPC-7,340897.97,4258876.96,125.3
115,GPC-8,340917.03,4264750.97,-1977.1
118,GPC-9,341551.01,4269454.03,18.5
122,McCullough-1,330055.02,4265022.02,-1480.6
127,OH-1,335529.98,4259049.01,-2284.5
128,OH-5,337664.01,4265502.95,1549.6
133,OH-7,341498.99,4262178.05,-2040.5
138,OH-8,339280.96,4259015.06,-2064.8
143,OH-4,336732.0,4264165.97,-2263.3
145,PPC Drilling Ridgline,343320.99,4265079.99,1307.7
147,PPC NM Ridgline,343465.03,4261796.98,1237.1
151,PPC OB5,335652.99,4259050.05,-1279.8
156,PPC WW2,332746.0,4259842.02,-2374.1
157,PPC WW3,332636.99,4265601.99,1359.8
158,PPC WW4,333356.01,4265227.96,1380.1
160,PPC-2,343092.98,4264682.01,1370.7
162,PPC-6,340260.99,4254040.03,1057.9
164,RHS-07,337232.02,4259187.98,789.8
168,RHS-121,335648.98,4255600.05,-1236.1
172,RHS-14,335798.99,4264089.99,-1309.2
173,RHS-15,338828.02,4259162.02,1694.2
174,RHS-16,336167.96,4266171.98,1468.0
176,RHS-170,335030.02,4270733.95,559.7
177,RHS-188,338739.03,4263910.99,1633.7
182,RHS-189,340174.98,4265597.04,-2002.5
186,RHS-196,335293.96,4255631.96,-1248.3
188,RHS-199,336264.98,4259513.05,753.1
189,RHS-336,337667.03,4264924.03,1560.1
194,TPC-10,334033.0,4259945.0,-2339.6
195,TPC-11,337593.01,4261888.0,1618.7
200,TPC-12,334826.0,4262756.05,-2338.8
204,TPC-14,335446.97,4264046.02,-1324.8
205,TPC-15,338361.03,4259096.02,1666.0
210,TPC-4,332845.01,4259947.99,-2374.3
212,TPC-5,336275.0,4259383.95,753.3
217,TPC-6,339924.03,4261927.99,-2072.7
222,TPC-7,337604.97,4258776.99,-2191.3
226,TPC-9,337251.99,4256837.95,-1176.6
227,UU-75-13,336106.0,4267274.03,1443.7
228,UU-75-1A,337752.96,4261867.01,1620.8
229,UU-75-1B,337592.96,4261535.96,1614.5
230,UU-76-1A,338436.97,4263657.06,1617.8
232,UUHF-3,341985.97,4264638.03,1100.5
233,UUTG-0,336632.04,4268692.03,1446.7
234,UUTG-1,338085.01,4268506.98,1509.5
235,UUTG-3,333920.99,4266715.95,1372.1
238,UUTG-5,340979.04,4268389.05,-123.5
239,UUTG-6,333698.99,4270118.0,1330.5
