x,y,z
338193.0,4262777.16314,1816.71972713
338168.0,4262785.96328,1816.71972713
338193.0,4262776.86086,1832.46874025
338168.0,4262785.48339,1832.46874025
338193.0,4262776.80659,1848.21775337
338168.0,4262785.75373,1848.21775337
341243.0,4262183.43648,1942.71183212
341218.0,4262186.54906,1942.71183212
341243.0,4262183.72607,1958.46084524
341218.0,4262186.83718,1958.46084524
341243.0,4262184.33257,1974.20985836
341218.0,4262187.55479,1974.20985836
339157.72353,4262330.79518,1848.21775337
339143.0,4262335.99964,1848.21775337
339154.761969,4262330.79518,1863.9667665
339143.0,4262334.82122,1863.9667665
339154.607058,4262330.79518,1879.71577962
339143.0,4262334.88355,1879.71577962
337843.0,4262924.14832,-2530.00789501
337834.412251,4262926.07058,-2530.00789501
337843.0,4262923.81289,-2514.25888189
337832.914495,4262926.07058,-2514.25888189
337843.0,4262923.47011,-2498.50986876
337831.381706,4262926.07058,-2498.50986876
340038.835154,4262211.74011,1879.71577962
340018.0,4262209.96508,1879.71577962
340042.475433,4262211.74011,1895.46479275
340018.0,4262209.55392,1895.46479275
340042.133481,4262211.74011,1911.21380587
340018.0,4262209.61749,1911.21380587
337843.0,4262921.42824,1785.22170088
337828.590127,4262926.07058,1785.22170088
337843.0,4262922.21858,1800.970714
337830.637383,4262926.07058,1800.970714
337843.0,4262921.59406,1816.71972713
337828.95191,4262926.07058,1816.71972713
341518.0,4262161.27628,-2530.00789501
341493.0,4262165.98782,-2530.00789501
341518.0,4262160.84271,-2514.25888189
341493.0,4262165.56184,-2514.25888189
341518.0,4262160.42765,-2498.50986876
341493.0,4262165.15351,-2498.50986876
341518.0,4262160.27688,2257.69209459
341493.0,4262163.42806,2257.69209459
341518.0,4262160.34933,2273.44110771
341493.0,4262163.52583,2273.44110771
341518.0,4262160.1738,2289.19012084
341493.0,4262163.44939,2289.19012084
339718.0,4262202.32424,1879.71577962
339693.0,4262203.95141,1879.71577962
339718.0,4262201.5404,1895.46479275
339693.0,4262202.95899,1895.46479275
339718.0,4262201.51915,1911.21380587
339693.0,4262203.01806,1911.21380587
338918.0,4262440.54694,1816.71972713
338899.63246,4262449.85026,1816.71972713
338918.0,4262439.71973,1832.46874025
338898.021393,4262449.85026,1832.46874025
338918.0,4262439.05242,1848.21775337
338896.71273,4262449.85026,1848.21775337
338505.661925,4262668.11791,1816.71972713
338493.0,4262674.15219,1816.71972713
338507.734458,4262668.11791,1832.46874025
338493.0,4262675.35498,1832.46874025
338508.02846,4262668.11791,1848.21775337
338493.0,4262675.64798,1848.21775337
340918.0,4262233.63172,1911.21380587
340893.0,4262237.03613,1911.21380587
340918.0,4262233.87935,1926.96281899
340893.0,4262237.29161,1926.96281899
340918.0,4262234.06217,1942.71183212
340893.0,4262237.4747,1942.71183212
340368.0,4262251.22055,1911.21380587
340343.0,4262248.28694,1911.21380587
340368.0,4262251.33681,1926.96281899
340343.0,4262248.37785,1926.96281899
340368.0,4262251.33545,1942.71183212
340343.0,4262248.34541,1942.71183212
340556.51627,4262271.26764,1911.21380587
340568.0,4262271.86028,1911.21380587
340544.806831,4262271.26764,1926.96281899
340568.0,4262273.05915,1926.96281899
340553.365295,4262271.26764,1942.71183212
340568.0,4262271.99981,1942.71183212
338518.0,4262661.88097,1816.71972713
338518.0,4262662.59958,1848.21775337
340543.0,4262270.517,1911.21380587
340543.0,4262270.71123,1942.71183212
341468.0,4262170.73245,-2530.00789501
341468.0,4262169.90799,-2498.50986876
341468.0,4262166.36068,2257.69209459
341468.0,4262166.47789,2289.19012084
341543.0,4262156.61422,-2530.00789501
341543.0,4262155.79419,-2498.50986876
341543.0,4262156.45753,2257.69209459
341543.0,4262156.47971,2289.19012084
339668.0,4262207.2243,1879.71577962
339668.0,4262206.50278,1911.21380587
338468.0,4262684.03002,1816.71972713
338468.0,4262684.5281,1848.21775337
340868.0,4262240.29349,1911.21380587
340868.0,4262240.68887,1942.71183212
340318.0,4262245.12188,1911.21380587
340318.0,4262245.22999,1942.71183212
340518.0,4262267.97754,1911.21380587
340518.0,4262268.19111,1942.71183212
339118.0,4262346.30182,1848.21775337
339118.0,4262345.26141,1879.71577962
339743.0,4262201.88632,1879.71577962
339743.0,4262201.26668,1911.21380587
338943.0,4262428.27434,1816.71972713
338939.448916,4262430.00775,1816.71972713
338943.0,4262426.88119,1848.21775337
338936.552604,4262430.00775,1848.21775337
338542.684537,4262648.27539,1816.71972713
338542.69978,4262648.27539,1848.21775337
338218.0,4262768.67636,1816.71972713
338218.0,4262768.25556,1848.21775337
337868.0,4262918.52871,-2530.00789501
337868.0,4262917.82805,-2498.50986876
341268.0,4262180.82289,1942.71183212
341268.0,4262181.57616,1974.20985836
337868.0,4262911.69323,1785.22170088
337868.0,4262911.60579,1816.71972713
340369.781507,4262251.42513,1911.21380587
340368.770962,4262251.42513,1942.71183212
340943.0,4262230.088,1911.21380587
340932.473673,4262231.58262,1911.21380587
340943.0,4262230.49418,1942.71183212
340935.392527,4262231.58262,1942.71183212
340593.0,4262270.38274,1911.21380587
340578.457626,4262271.26764,1911.21380587
340593.0,4262270.61032,1942.71183212
340581.599074,4262271.26764,1942.71183212
338164.969726,4262787.17299,1816.71972713
338164.402011,4262787.17299,1848.21775337
338143.0,4262796.22623,1816.71972713
338143.0,4262795.82467,1848.21775337
339993.0,4262208.47986,1879.71577962
339993.0,4262208.19133,1911.21380587
341193.0,4262190.72286,1942.71183212
341193.0,4262191.46138,1974.20985836
340893.0,4262236.37543,1879.71577962
340868.0,4262239.63607,1879.71577962
340918.0,4262232.99822,1879.71577962
340893.0,4262237.55187,1974.20985836
340868.0,4262240.77877,1974.20985836
340918.0,4262234.1868,1974.20985836
340343.0,4262247.72749,1879.71577962
340318.0,4262244.70025,1879.71577962
340368.0,4262250.65419,1879.71577962
340543.0,4262267.621,1879.71577962
340518.0,4262266.01093,1879.71577962
340568.0,4262268.25674,1879.71577962
337843.0,4262919.42697,1753.72367463
337823.01832,4262926.07058,1753.72367463
337868.0,4262910.25495,1753.72367463
339143.0,4262338.81786,1816.71972713
339118.0,4262348.75455,1816.71972713
339164.939777,4262330.79518,1816.71972713
340343.0,4262248.12463,1974.20985836
340318.0,4262245.09176,1974.20985836
340368.0,4262251.08835,1974.20985836
341493.0,4262164.40458,-2467.01184252
341468.0,4262169.1344,-2467.01184252
341518.0,4262159.70786,-2467.01184252
341493.0,4262163.06076,2320.68814708
341468.0,4262166.2488,2320.68814708
341518.0,4262159.68342,2320.68814708
338193.0,4262776.94079,1879.71577962
338168.0,4262786.19788,1879.71577962
338218.0,4262768.06203,1879.71577962
339693.0,4262204.79876,1942.71183212
339668.0,4262207.5979,1942.71183212
339718.0,4262203.05463,1942.71183212
338918.0,4262438.43837,1879.71577962
338895.478617,4262449.85026,1879.71577962
338493.0,4262671.7342,1879.71577962
338468.0,4262682.1449,1879.71577962
338518.0,4262659.62012,1879.71577962
337843.0,4262922.72838,-2467.01184252
337828.111528,4262926.07058,-2467.01184252
337868.0,4262917.09607,-2467.01184252
340034.345244,4262211.74011,1942.71183212
340018.0,4262210.36594,1942.71183212
341243.0,4262185.84047,2005.70788461
341218.0,4262189.15207,2005.70788461
341268.0,4262182.81992,2005.70788461
340543.0,4262268.29412,1974.20985836
340518.0,4262266.66745,1974.20985836
340568.0,4262268.95487,1974.20985836
337843.0,4262919.0399,1848.21775337
337821.909498,4262926.07058,1848.21775337
337868.0,4262909.73577,1848.21775337
339143.0,4262335.72404,1911.21380587
339118.0,4262345.7083,1911.21380587
339156.457228,4262330.79518,1911.21380587
338193.0,4262778.25607,1785.22170088
338168.0,4262787.51842,1785.22170088
338218.0,4262769.40045,1785.22170088
341493.0,4262166.85933,-2561.50592126
341468.0,4262171.59164,-2561.50592126
341518.0,4262162.15254,-2561.50592126
341493.0,4262162.72532,2226.19406834
341468.0,4262165.8122,2226.19406834
341518.0,4262159.41113,2226.19406834
338918.0,4262442.41342,1785.22170088
338903.193979,4262449.85026,1785.22170088
338493.0,4262671.34054,1785.22170088
338468.0,4262682.00832,1785.22170088
338518.0,4262659.56198,1785.22170088
339693.0,4262206.69327,1848.21775337
339668.0,4262209.45059,1848.21775337
339718.0,4262204.87034,1848.21775337
341243.0,4262183.72238,1911.21380587
341218.0,4262187.08489,1911.21380587
341268.0,4262180.73494,1911.21380587
337843.0,4262924.81913,-2561.50592126
337837.403914,4262926.07058,-2561.50592126
337868.0,4262919.21389,-2561.50592126
