x,y,z
338849.076062,4263937.93953,-2530.00789501
338845.984544,4263928.44277,-2530.00789501
338847.609733,4263937.93953,-2514.25888189
338845.984544,4263932.99299,-2514.25888189
338846.081459,4263937.93953,-2498.50986876
338845.984544,4263937.65033,-2498.50986876
336897.764419,4258520.93344,-2530.00789501
336904.994025,4258540.77595,-2530.00789501
336896.045662,4258520.93344,-2514.25888189
336903.324013,4258540.77595,-2514.25888189
336895.984544,4258520.93344,-2513.65986109
336901.777799,4258540.77595,-2498.50986876
336895.984544,4258525.11297,-2498.50986876
338097.405724,4263223.60905,1816.71972713
338095.984544,4263213.69594,1816.71972713
338097.476386,4263223.60905,1832.46874025
338095.984544,4263215.801,1832.46874025
338095.984544,4263223.60905,1839.40855146
337748.716306,4261993.37324,1816.71972713
337745.984544,4261987.79674,1816.71972713
337746.65774,4261993.37324,1832.46874025
337745.984544,4261991.98294,1832.46874025
337745.984544,4261993.37324,1837.12728019
337659.081916,4261814.79062,1816.71972713
337666.282078,4261834.63313,1816.71972713
337657.583454,4261814.79062,1832.46874025
337664.995547,4261834.63313,1832.46874025
337656.772339,4261814.79062,1848.21775337
337664.491264,4261834.63313,1848.21775337
337960.456997,4262529.12109,1816.71972713
337965.955543,4262548.96361,1816.71972713
337959.572736,4262529.12109,1832.46874025
337965.224413,4262548.96361,1832.46874025
337957.836212,4262529.12109,1848.21775337
337963.491474,4262548.96361,1848.21775337
337550.655645,4261457.62538,1785.22170088
337556.698968,4261477.4679,1785.22170088
337548.842382,4261457.62538,1800.970714
337554.856202,4261477.4679,1800.970714
337547.110244,4261457.62538,1816.71972713
337553.106886,4261477.4679,1816.71972713
337282.580523,4260544.86978,1753.72367463
337288.820627,4260564.71229,1753.72367463
337281.208416,4260544.86978,1769.47268776
337287.378146,4260564.71229,1769.47268776
337279.525404,4260544.86978,1785.22170088
337285.734189,4260564.71229,1785.22170088
338084.464262,4263481.56172,1816.71972713
338085.786875,4263501.40424,1816.71972713
338081.177967,4263481.56172,1832.46874025
338082.694239,4263501.40424,1832.46874025
338079.41708,4263481.56172,1848.21775337
338080.886323,4263501.40424,1848.21775337
336326.243426,4258024.87061,1816.71972713
336320.984544,4258010.52483,1816.71972713
336324.935139,4258024.87061,1832.46874025
336320.984544,4258014.1768,1832.46874025
336323.775867,4258024.87061,1848.21775337
336320.984544,4258017.346,1848.21775337
338135.428608,4263799.04194,1816.71972713
338140.032828,4263818.88445,1816.71972713
338133.137454,4263799.04194,1832.46874025
338137.751941,4263818.88445,1832.46874025
338131.666497,4263799.04194,1848.21775337
338136.261356,4263818.88445,1848.21775337
337432.970753,4261060.77512,1785.22170088
337438.835457,4261080.61763,1785.22170088
337431.32524,4261060.77512,1800.970714
337437.186962,4261080.61763,1800.970714
337429.671023,4261060.77512,1816.71972713
337435.529495,4261080.61763,1816.71972713
336900.695427,4259294.79145,1785.22170088
336908.914771,4259314.63396,1785.22170088
336899.096127,4259294.79145,1800.970714
336907.337755,4259314.63396,1800.970714
336896.907134,4259294.79145,1816.71972713
336905.208798,4259314.63396,1816.71972713
337140.11121,4260128.177,1753.72367463
337145.44992,4260148.01952,1753.72367463
337137.933634,4260128.177,1769.47268776
337143.092911,4260148.01952,1769.47268776
337136.368829,4260128.177,1785.22170088
337141.482241,4260148.01952,1785.22170088
338022.712218,4262906.12884,1816.71972713
338026.431892,4262925.97136,1816.71972713
338020.984544,4262906.12884,1832.43732787
338024.704194,4262925.97136,1832.46874025
338020.984544,4262906.14736,1832.46874025
338023.669499,4262925.97136,1848.21775337
338020.984544,4262911.95127,1848.21775337
336578.864324,4258659.83103,1785.22170088
336587.705909,4258679.67354,1785.22170088
336576.874754,4258659.83103,1800.970714
336585.629962,4258679.67354,1800.970714
336575.625977,4258659.83103,1816.71972713
336584.447025,4258679.67354,1816.71972713
337039.447637,4259691.64171,1785.22170088
337044.861315,4259711.48423,1785.22170088
337037.776699,4259691.64171,1800.970714
337043.244762,4259711.48423,1800.970714
337035.690997,4259691.64171,1816.71972713
337041.211101,4259711.48423,1816.71972713
338855.256207,4263957.78204,-2530.00789501
338851.928127,4263957.78204,-2498.50986876
336912.389491,4258560.61846,-2530.00789501
336909.32126,4258560.61846,-2498.50986876
338097.645297,4263243.45157,1816.71972713
338095.984544,4263243.45157,1831.4990859
337757.307778,4262013.21575,1816.71972713
337753.370639,4262013.21575,1848.21775337
337745.984544,4261996.93394,1848.21775337
337670.984544,4261844.47171,1816.71972713
337670.984544,4261849.08758,1848.21775337
337970.313858,4262568.80612,1816.71972713
337967.462794,4262568.80612,1848.21775337
337562.83346,4261497.31041,1785.22170088
337559.277035,4261497.31041,1816.71972713
336895.984544,4259284.74055,1785.22170088
336895.984544,4259292.75829,1816.71972713
337135.440457,4260108.33449,1753.72367463
337132.022944,4260108.33449,1785.22170088
338020.984544,4262893.87923,1816.71972713
337294.855341,4260584.55481,1753.72367463
337291.735543,4260584.55481,1785.22170088
338088.434653,4263521.24675,1816.71972713
338083.930776,4263521.24675,1848.21775337
336334.067004,4258044.71312,1816.71972713
336331.385496,4258044.71312,1848.21775337
338145.536572,4263838.72696,1816.71972713
338141.619336,4263838.72696,1848.21775337
337444.685605,4261100.46015,1785.22170088
