x,y,z
329950.0,4270950.0,-2041.05725098
329950.0,4270900.0,-2042.90258789
330000.0,4270900.0,-2026.21520996
330000.0,4270950.0,-2022.09655762
330050.0,4270900.0,-2009.52783203
330050.0,4270950.0,-2007.68237305
330100.0,4270900.0,-1992.84033203
330100.0,4270950.0,-1990.99499512
330150.0,4270900.0,-1976.1529541
330150.0,4270950.0,-1974.30761719
330200.0,4270900.0,-1959.46557617
330200.0,4270950.0,-1957.62023926
330250.0,4270900.0,-1942.77819824
330250.0,4270950.0,-1940.74377441
330300.0,4270900.0,-1926.09082031
330300.0,4270950.0,-1923.92285156
330350.0,4270900.0,-1909.40344238
330350.0,4270950.0,-1903.7800293
330400.0,4270900.0,-1890.83508301
330400.0,4270950.0,-1886.33666992
330450.0,4270900.0,-1872.04199219
330450.0,4270950.0,-1864.31518555
330500.0,4270900.0,-1853.2487793
330500.0,4270950.0,-1848.75048828
330550.0,4270900.0,-1834.45568848
330550.0,4270950.0,-1828.08764648
330600.0,4270900.0,-1815.66259766
330600.0,4270950.0,-1811.16418457
330650.0,4270900.0,-1796.86950684
330650.0,4270950.0,-1792.37109375
330700.0,4270900.0,-1778.07641602
330700.0,4270950.0,-1773.57800293
330750.0,4270900.0,-1759.28320312
330750.0,4270950.0,-1750.87695312
330800.0,4270900.0,-1740.4901123
330800.0,4270950.0,-1735.99169922
330850.0,4270900.0,-1721.69702148
330850.0,4270950.0,-1715.0480957
330900.0,4270900.0,-1702.90393066
330900.0,4270950.0,-1698.40551758
330950.0,4270900.0,-1684.11071777
330950.0,4270950.0,-1679.61242676
331000.0,4270900.0,-1665.31762695
331000.0,4270950.0,-1660.81921387
331050.0,4270900.0,-1646.52453613
331050.0,4270950.0,-1641.52661133
331100.0,4270900.0,-1627.73144531
331100.0,4270950.0,-1623.23303223
331150.0,4270900.0,-1608.93835449
331150.0,4270950.0,-1604.43994141
331200.0,4270900.0,-1590.1451416
331200.0,4270950.0,-1585.64672852
331250.0,4270900.0,-1569.86584473
331250.0,4270950.0,-1565.36743164
331300.0,4270900.0,-1548.88708496
331300.0,4270950.0,-1544.38867188
331350.0,4270900.0,-1527.90820312
331350.0,4270950.0,-1523.40979004
